10000 30274
1 1839 600782
1 3218 274878
1 6140 645577
1 6655 178683
1 8384 563532
1 8459 51113
2 1720 297465
2 3459 44893
2 3464 771490
2 5786 276808
2 6821 957143
2 7268 645128
2 9751 130311
3 779 182193
3 781 440969
3 3747 611384
3 4586 915244
3 5890 95709
3 8808 779389
3 9041 205348
4 2367 138065
4 2672 379457
4 3622 142313
4 5560 650275
4 8025 117328
4 9786 30915
5 1248 161221
5 3436 122374
5 4841 83194
5 7528 642727
5 8449 795529
6 2583 891233
6 4814 279965
6 7627 889931
7 2534 27991
7 2644 267984
7 2932 929774
7 3201 893914
7 3435 568949
7 6105 896149
7 8200 44268
7 8913 265639
7 9547 433474
8 680 76196
8 2776 558200
8 3281 576676
8 4057 835091
8 6041 548945
8 6054 516145
8 6521 269356
8 8771 221802
9 380 673423
9 929 98609
9 1644 908222
9 2745 122813
9 4579 84817
9 6022 151823
9 7304 253622
9 7794 110829
9 9860 989041
10 1099 471168
10 2219 312077
10 3323 854136
10 5536 973927
10 6371 131818
10 7443 636478
10 9627 385494
11 151 660560
11 1742 491244
11 3107 420428
11 3512 688163
11 3754 127042
11 3883 486735
11 5746 304198
11 5865 531899
11 6147 463287
11 7161 555358
11 8547 31502
12 320 671336
12 2051 169384
12 2856 396919
12 5077 351182
12 6483 731781
12 7252 384650
12 9745 723196
13 16 811790
13 2455 694135
13 5323 874657
13 7647 806991
13 9195 757962
13 9464 67565
14 2020 615414
14 2601 243670
14 5343 277667
14 6740 110902
14 7317 621
14 7393 84339
14 9138 764848
15 1604 4391
15 4337 32596
15 5509 99175
15 7231 147396
15 8055 241402
15 9433 380375
16 2014 964287
16 4031 11007
16 5724 74953
16 6744 866438
16 9356 700420
17 557 217389
17 3315 627878
17 5796 236957
17 8001 779074
17 8341 591941
18 1881 691112
18 3615 721258
18 5898 296135
18 7529 78009
18 9366 932984
19 873 460339
19 3852 232158
19 4206 4768
19 4971 931774
19 6418 128309
19 6924 970560
19 8102 647990
20 403 427059
20 3251 477675
20 3966 22714
20 5096 293453
20 7060 866416
20 9991 935950
21 1789 868930
21 2844 74977
21 4104 125037
21 5230 76969
21 5379 408247
21 7113 660951
21 7660 190595
21 8162 809080
22 384 694814
22 1015 804213
22 3496 20702
22 5767 857614
22 7265 603590
22 8639 936432
23 812 370551
23 2972 687847
23 3491 286775
23 3719 269001
23 6455 491732
23 7694 888825
24 2161 79416
24 2688 539216
24 3676 655893
24 4698 699974
24 6147 922858
24 7166 836075
24 8981 67520
25 213 520300
25 2752 238333
25 4946 936702
25 5469 369069
25 8290 288106
26 2582 779833
26 3233 992380
26 5087 561791
26 5226 265737
26 6576 22482
26 7197 367727
26 7645 414425
26 8221 475822
26 8713 103747
27 174 640934
27 3155 702041
27 4413 503530
27 6500 838137
27 9090 894911
27 9324 510654
28 2091 858656
28 2632 871272
28 5422 611684
28 6422 554144
28 8579 574976
28 9441 872960
29 1819 348778
29 4055 832536
29 4514 962738
29 6327 504795
29 6450 385427
29 6766 336213
29 9321 880910
30 2818 907911
30 3450 772206
30 5361 802176
30 5831 219704
30 7682 296825
31 1039 388149
31 2092 437319
31 4981 940846
31 5069 650128
31 6794 710902
31 9003 279541
32 2363 664963
32 4719 162895
32 5232 137617
32 5589 754657
32 7108 688992
32 9962 844785
33 708 64485
33 2070 499852
33 4741 985725
33 5733 566727
33 6769 781884
33 7685 725479
33 7688 313644
34 2245 593181
34 4009 387898
34 5496 425123
34 6280 179356
34 7363 977497
34 7367 640958
35 244 485738
35 2587 180240
35 2801 611709
35 3884 904889
35 4661 568078
35 5620 53168
35 8573 11879
35 9564 298311
36 751 375873
36 2793 932482
36 4907 725885
36 5856 830902
36 6088 953035
36 7478 355591
36 9814 991225
37 107 181568
37 2137 662639
37 3757 709468
37 4276 939752
37 6813 555482
37 8725 143845
37 9429 287906
37 9928 409221
38 758 360615
38 1203 130837
38 4046 374749
38 6776 508078
38 7904 286475
38 8916 954467
38 8960 712810
38 9492 491963
39 1206 801582
39 3209 297041
39 5886 761896
39 6752 250592
39 8484 452573
40 2623 378142
40 5431 747658
40 5531 607609
40 6369 857946
